# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 2.700000e+00 0.000000e+00)
1             	2.290522e+03	(0.000000e+00 0.000000e+00 -2.027337e+00)
2             	2.266177e+03	(0.000000e+00 0.000000e+00 -2.027337e+00)
3             	1.894825e+03	(0.000000e+00 0.000000e+00 -2.027337e+00)
4             	1.653268e+03	(0.000000e+00 0.000000e+00 -2.027337e+00)
5             	1.395639e+03	(0.000000e+00 0.000000e+00 -2.027337e+00)
6             	9.715373e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
7             	3.859818e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
8             	2.492977e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
9             	-1.088263e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
10            	-2.999660e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
11            	-2.813322e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
12            	-5.071389e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
13            	-5.659063e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
14            	-5.244635e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
15            	-4.994758e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
16            	-4.617019e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
17            	-2.597642e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
18            	-2.305787e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
19            	-2.479348e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
20            	-1.046456e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
21            	9.276459e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
22            	1.433389e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
23            	1.051945e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
24            	1.341974e+02	(0.000000e+00 0.000000e+00 -2.027337e+00)
25            	8.524239e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
26            	4.981439e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
27            	5.229007e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
28            	1.461774e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
29            	5.157820e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
30            	8.782754e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
31            	1.831377e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
32            	2.585418e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
33            	2.438229e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
34            	2.448945e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
35            	2.536646e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
36            	2.118888e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
37            	2.798383e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
38            	2.016306e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
39            	-1.500850e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
40            	-1.487473e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
41            	-2.253557e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
42            	-2.584726e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
43            	1.971936e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
44            	1.678000e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
45            	2.068782e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
46            	2.232645e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
47            	2.434047e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
48            	2.887557e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
49            	3.066554e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
50            	3.355453e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
51            	3.545266e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
52            	3.242807e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
53            	2.364772e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
54            	1.685406e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
55            	1.158878e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
56            	7.125514e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
57            	3.206516e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
58            	4.754367e-01	(0.000000e+00 0.000000e+00 -2.027337e+00)
59            	-6.992711e-02	(0.000000e+00 0.000000e+00 -2.027337e+00)
60            	7.504189e-01	(0.000000e+00 0.000000e+00 -2.027337e+00)
61            	8.783133e-01	(0.000000e+00 0.000000e+00 -2.027337e+00)
62            	3.880726e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
63            	6.733452e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
64            	1.325745e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
65            	1.612576e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
66            	1.891547e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
67            	2.146596e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
68            	2.355120e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
69            	2.500753e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
70            	2.595342e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
