# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 6.270000e-05 0.000000e+00)
0.1           	1.023033e+00	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.2           	-4.398984e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.3           	-3.638365e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.4           	-3.959664e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.5           	1.008755e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.6           	1.825555e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.7           	2.325015e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.8           	2.638196e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.9           	2.848344e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1             	2.977018e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.1           	3.056878e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.2           	3.086707e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.3           	3.117482e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.4           	3.113882e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.5           	3.097922e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.6           	3.068236e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.7           	3.038823e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.8           	3.005519e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.9           	2.965672e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2             	2.924226e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.1           	2.874617e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.2           	2.829482e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.3           	2.786099e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.4           	2.737186e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.5           	2.687555e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.6           	2.640392e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.7           	2.591113e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.8           	2.546027e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.9           	2.495560e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3             	2.447026e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.1           	2.402239e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.2           	2.354805e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.3           	2.306406e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.4           	2.262809e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.5           	2.216317e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.6           	2.170211e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.7           	2.127848e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.8           	2.086679e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.9           	2.042405e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4             	2.002141e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.1           	1.959247e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.2           	1.920072e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.3           	1.879177e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.4           	1.840984e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.5           	1.803484e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.6           	1.766070e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.7           	1.727139e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.8           	1.693956e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.9           	1.657110e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5             	1.622859e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.1           	1.589116e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.2           	1.556731e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
