# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 0.000000e+00 7.600000e-03)
1             	1.876289e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
2             	1.868529e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
3             	1.568998e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
4             	1.414619e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
5             	1.231899e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
6             	1.018457e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
7             	2.093720e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
8             	8.282371e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9             	-1.942223e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10            	-1.115724e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
11            	-2.042882e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
12            	-2.898292e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
13            	-3.538961e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
14            	-4.828156e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
15            	-1.105049e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
16            	-1.132064e-02	(0.000000e+00 0.000000e+00 -5.706577e-03)
17            	-6.372178e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
18            	-5.732267e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
19            	-1.421952e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
20            	3.227190e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
21            	3.306848e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
22            	4.592875e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
23            	4.788800e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
24            	4.512459e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
25            	3.618162e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
26            	2.681708e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
27            	1.665411e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
28            	4.411690e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
29            	1.025387e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
30            	-9.772961e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
31            	-1.391637e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
32            	-2.414808e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
33            	-2.431910e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
34            	-2.839963e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
35            	-1.959038e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
36            	-1.623348e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
37            	-1.351485e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
38            	-1.294686e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
39            	-6.500979e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
40            	-5.911142e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
41            	-5.015684e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
42            	1.584902e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
43            	6.198134e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
44            	4.827181e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
45            	9.018367e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
