# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
633           	5.882303e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
634           	5.850695e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
635           	5.849142e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
636           	5.845424e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
637           	5.820413e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
638           	5.784291e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
639           	5.760937e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
640           	5.755507e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
641           	5.749265e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
642           	5.748935e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
643           	5.751990e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
644           	5.757432e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
645           	5.773755e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
646           	5.782591e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
647           	5.785938e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
648           	5.789153e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
649           	5.793224e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
650           	5.800461e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
651           	5.884246e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
652           	5.876569e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
653           	5.871444e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
654           	5.886664e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
655           	5.910505e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
656           	6.017896e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
657           	6.014451e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
658           	6.026185e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
659           	6.049587e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
660           	6.146112e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
661           	6.140636e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
662           	6.134617e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
663           	6.125144e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
