# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 0.000000e+00 7.600000e-03)
0.05          	2.045800e+00	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.1           	-1.368513e-01	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.15          	-9.438091e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.2           	1.295718e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.25          	1.742026e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.3           	2.233777e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.35          	2.526004e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.4           	2.711560e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.45          	2.830938e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.5           	2.907092e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.55          	2.957153e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.6           	2.987793e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.65          	3.004850e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.7           	3.011197e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.75          	3.010133e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.8           	3.003733e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.85          	2.992460e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.9           	2.977946e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
0.95          	2.960489e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1             	2.941803e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.05          	2.921703e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.1           	2.900365e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.15          	2.878305e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.2           	2.855670e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.25          	2.832801e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.3           	2.809705e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.35          	2.786148e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.4           	2.763003e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.45          	2.740330e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.5           	2.716727e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.55          	2.693805e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.6           	2.671573e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.65          	2.648614e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.7           	2.626191e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.75          	2.603732e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.8           	2.581823e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.85          	2.559856e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.9           	2.537934e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
1.95          	2.516479e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2             	2.494998e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.05          	2.473541e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.1           	2.452586e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
2.15          	2.430933e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
